TradeID,TradeDate,SettlementDate,InstrumentID,InstrumentName,AssetClass,TransactionType,Quantity,Price,Currency,GrossAmount,Fees,NetAmount,Counterparty,PortfolioID,Status
T001,2025-01-10,2025-01-12,US0378331005,Apple Inc. Equity,Equity,Buy,5000,185.00,USD,925000.00,2500.00,922500.00,Goldman Sachs,P1001,Settled
T002,2025-01-12,2025-01-14,XS1234567890,UAE Govt Bond 2030,Fixed Income,Buy,10000,102.50,USD,1025000.00,3000.00,1022000.00,JPMorgan,P1002,Settled
T003,2025-01-15,2025-01-17,AE0987654321,ADNOC Logistics Fund,PE Fund,Subscription,1000,1000.00,AED,1000000.00,0.00,1000000.00,BlackRock,P1003,Pending
T004,2025-01-16,2025-01-18,US5949181045,Microsoft Equity,Equity,Sell,3000,420.00,USD,1260000.00,2000.00,1258000.00,Morgan Stanley,P1001,Settled
T005,2025-01-20,2025-01-22,US4592001014,IBM Equity,Equity,Buy,2500,170.25,USD,425625.00,1800.00,423825.00,Citigroup,P1004,Settled
T006,2025-01-22,2025-01-24,IE00B4L5Y983,iShares MSCI EM ETF,ETF,Buy,8000,42.10,USD,336800.00,900.00,335900.00,UBS,P1002,Settled
T007,2025-01-25,2025-01-28,US912828ZC77,US T-Note 2029,Fixed Income,Sell,6000,99.80,USD,598800.00,1200.00,597600.00,Barclays,P1005,Settled
T008,2025-01-27,2025-01-29,NL0000235190,ASML Holding,Equity,Buy,1200,820.00,EUR,984000.00,2200.00,981800.00,Deutsche Bank,P1001,Settled
T009,2025-02-01,2025-02-03,CH0038863350,Nestlé SA,Equity,Buy,1500,105.40,CHF,158100.00,1000.00,157100.00,Credit Suisse,P1006,Settled
T010,2025-02-03,2025-02-05,US78462F1030,SPDR S&P 500 ETF,ETF,Sell,4000,520.15,USD,2080600.00,1500.00,2079100.00,State Street,P1002,Settled
T011,2025-02-05,2025-02-07,XS2222222222,KSA Govt Bond 2032,Fixed Income,Buy,9000,101.75,USD,915750.00,2800.00,912950.00,HSBC,P1005,Settled
T012,2025-02-07,2025-02-10,US0231351067,Amazon.com Inc.,Equity,Buy,1800,168.30,USD,302940.00,1600.00,301340.00,BofA Securities,P1001,Settled
T013,2025-02-10,2025-02-12,US4592001014,IBM Equity,Equity,Sell,1000,175.10,USD,175100.00,900.00,174200.00,Citigroup,P1004,Settled
T014,2025-02-12,2025-02-14,AE1111111111,GCC Infra Fund II,PE Fund,Subscription,500,1500.00,USD,750000.00,0.00,750000.00,Blackstone,P1003,Pending
T015,2025-02-14,2025-02-18,GB00BH4HKS39,AstraZeneca PLC,Equity,Buy,1300,125.20,GBP,162760.00,1100.00,161660.00,HSBC,P1006,Settled
T016,2025-02-18,2025-02-20,US02079K3059,Alphabet Class A,Equity,Buy,1600,152.75,USD,244400.00,1400.00,243000.00,Goldman Sachs,P1001,Settled
T017,2025-02-20,2025-02-24,US30303M1027,Meta Platforms,Equity,Sell,900,485.60,USD,437040.00,950.00,436090.00,JPMorgan,P1001,Settled
T018,2025-02-24,2025-02-26,XS3333333333,Qatar Govt Bond 2031,Fixed Income,Buy,7000,103.20,USD,722400.00,2400.00,720000.00,Barclays,P1005,Settled
T019,2025-02-26,2025-02-28,US4781601046,Johnson & Johnson,Equity,Buy,1100,159.80,USD,175780.00,900.00,174880.00,Morgan Stanley,P1004,Settled
T020,2025-02-28,2025-03-03,US30303M1027,Meta Platforms,Equity,Buy,600,490.00,USD,294000.00,700.00,293300.00,Citigroup,P1002,Settled
T021,2025-03-03,2025-03-05,US5949181045,Microsoft Equity,Equity,Buy,1200,422.50,USD,507000.00,1200.00,505800.00,BofA Securities,P1001,Settled
T022,2025-03-05,2025-03-07,IE00B4L5Y983,iShares MSCI EM ETF,ETF,Sell,3000,43.05,USD,129150.00,700.00,128450.00,UBS,P1002,Settled
T023,2025-03-07,2025-03-10,US912828ZC77,US T-Note 2029,Fixed Income,Buy,5000,100.10,USD,500500.00,1000.00,499500.00,HSBC,P1005,Settled
T024,2025-03-10,2025-03-12,NL0000235190,ASML Holding,Equity,Sell,500,835.00,EUR,417500.00,1500.00,416000.00,Deutsche Bank,P1001,Settled
T025,2025-03-12,2025-03-14,US88160R1014,Tesla Inc.,Equity,Buy,900,210.25,USD,189225.00,1200.00,188025.00,Goldman Sachs,P1004,Settled
T026,2025-03-14,2025-03-18,XS4444444444,Bahrain Govt Bond 2030,Fixed Income,Buy,6000,101.30,USD,607800.00,2100.00,605700.00,JPMorgan,P1005,Settled
T027,2025-03-18,2025-03-20,US17275R1023,Cisco Systems,Equity,Buy,2000,51.40,USD,102800.00,800.00,102000.00,Barclays,P1002,Settled
T028,2025-03-20,2025-03-24,US30303M1027,Meta Platforms,Equity,Sell,700,495.20,USD,346640.00,900.00,345740.00,Morgan Stanley,P1001,Settled
T029,2025-03-24,2025-03-26,US0231351067,Amazon.com Inc.,Equity,Buy,1000,170.15,USD,170150.00,1000.00,169150.00,BofA Securities,P1001,Settled
T030,2025-03-26,2025-03-28,IE00B3RBWM25,iShares Core EUR Gov Bond,ETF,Buy,5000,128.40,EUR,642000.00,1300.00,640700.00,UBS,P1006,Settled